Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
UBC_290;191.927;-59.3591;1.579;0.025;8.019;0.03;-0.124;0.069;0.992;0.033;394;-1.54849;0.21033;2.23793;0.26472;-0.1076;0.02467;1.80467;0.04845;1125;225;0.60152;0.59358;0.21692;1.15707;3.46092;0.1383;0.04069
UBC_292;200.3783;-61.2716;2.053;0.031;7.48;0.057;0.13;0.047;1.386;0.029;466;-2.00229;0.24591;2.07408;0.21157;0.00614;0.02162;1.9466;0.06123;1044;208;0.54292;0.65811;0.26733;1.07421;5.21595;0.08498;0.42257
UBC_300;223.0187;-65.3262;1.753;0.05;8.54;0.165;0.105;0.051;2.168;0.065;179;-2.01899;0.55822;1.97121;0.29343;0.00826;0.0347;1.68733;0.12179;500;100;0.64246;0.71605;0.24013;1.40676;3.24757;0.18432;0.10703
UBC_303;221.9018;-56.254;1.705;0.059;8.829;0.128;0.114;0.042;1.711;0.101;139;-2.26525;0.88929;2.04968;0.31831;-0.00541;0.04112;1.63667;0.151;419;83;0.58993;0.68556;0.27131;1.10362;4.95461;0.30084;0.00307
UBC_31;61.0997;32.8479;0.315;0.012;7.321;0.124;-0.128;0.062;0.846;0.093;390;-1.46326;0.45026;0.1574;0.31466;-0.2;0.11969;1.52533;0.10347;358;71;0.39231;0.68599;0.19503;1.02862;5.07471;0.09378;0.83114
UBC_316;248.7602;-47.9595;1.599;0.037;8.684;0.581;0.142;0.057;2.714;0.106;93;-1.43608;0.67758;1.3326;0.32247;0.07907;0.05989;1.57028;0.1613;267;53;0.63441;0.80701;0.29479;1.48715;2.28158;0.75778;0.0
UBC_319;249.7013;-44.7682;1.305;0.02;8.069;0.172;0.175;0.074;1.799;0.055;223;-1.58278;0.35176;1.83081;0.30249;-0.01449;0.03746;1.79888;0.09651;609;121;0.55605;0.61094;0.24649;1.04773;3.16342;0.22877;0.00709
UBC_340;270.7707;-22.6504;1.265;0.024;7.413;0.066;0.161;0.05;2.376;0.076;148;-1.60267;0.29067;1.91041;0.37394;0.04108;0.03942;1.75369;0.08968;436;87;0.60135;0.70731;0.23697;1.00439;1.57668;0.17117;0.37146
UBC_347;276.7298;-10.9679;1.267;0.034;8.727;0.203;0.069;0.078;3.004;0.075;72;-1.62864;0.97777;1.52208;0.29244;0.09506;0.06364;1.61153;0.26902;232;46;0.69444;0.68214;0.24592;1.42542;1.14163;0.38889;0.02834
UBC_356;288.8649;-4.1782;1.057;0.009;8.174;0.128;0.059;0.066;1.743;0.025;71;-1.48151;0.49503;1.33572;0.31912;-0.05745;0.06011;1.3034;0.11654;202;40;0.67606;0.58117;0.23008;1.19401;1.42074;0.30569;0.05995
UBC_36;16.4461;59.6334;1.752;0.075;8.679;0.197;-0.07;0.043;1.345;0.1;43;-2.09789;0.57941;2.40729;0.59429;-0.0168;0.03509;1.2337;0.11272;107;21;0.44186;0.73674;0.22892;1.22573;1.33639;0.41435;0.04634
UBC_361;289.9783;15.155;1.508;0.021;7.858;0.155;0.171;0.071;2.144;0.055;127;-1.49037;0.46145;1.8139;0.36557;-6e-05;0.04886;1.65231;0.13181;410;82;0.72441;0.67085;0.24665;1.59465;3.16394;0.38459;0.00021
UBC_364;306.2665;29.7233;1.591;0.067;8.719;0.052;0.068;0.048;1.925;0.109;62;-0.83211;0.68605;2.04787;0.4481;-0.0136;0.06959;1.35896;0.16276;258;51;0.67742;0.61572;0.25229;1.31281;3.74285;0.33631;0.13374
UBC_366;299.8455;37.222;1.725;0.059;8.651;0.046;0.053;0.045;0.975;0.062;79;-1.94093;0.69299;1.69038;0.30602;0.01535;0.04271;1.49662;0.12298;164;32;0.5443;0.59449;0.27628;1.3454;2.24963;0.31586;0.03548
UBC_373;306.8544;37.6696;1.235;0.014;7.216;0.061;0.006;0.053;3.124;0.037;68;-1.59575;0.39703;1.44789;0.32226;0.05867;0.06582;1.44458;0.16914;201;40;0.61765;0.6822;0.25442;0.71305;0.95336;0.21212;0.7124
UBC_378;311.5493;48.8763;1.428;0.045;8.714;0.242;-0.034;0.058;2.106;0.141;104;-1.42736;0.55976;2.21201;0.48806;-0.0196;0.04397;1.56747;0.11972;375;75;0.60577;0.7094;0.21272;1.05864;3.98037;0.20513;0.22789
UBC_381;316.2846;48.7282;2.037;0.049;8.003;0.21;0.059;0.067;1.902;0.078;47;-1.861;0.46985;2.01595;0.37282;-0.00457;0.03935;1.27064;0.1177;190;38;0.68085;0.57689;0.24501;1.34415;3.37274;0.43891;0.0369
UBC_382;324.9847;49.3185;2.124;0.051;8.34;0.243;-0.008;0.036;1.226;0.079;114;-1.86095;0.59912;1.89865;0.29719;-0.05509;0.04379;1.42595;0.11439;325;65;0.53509;0.60766;0.27446;1.3683;2.98223;0.2807;0.02197
UBC_386;319.7971;61.9458;1.135;0.025;6.894;0.034;0.036;0.029;1.505;0.049;89;-1.18058;0.20182;1.8705;0.51032;-0.16703;0.05647;1.23134;0.06593;219;43;0.68539;0.75325;0.24283;1.08336;2.00973;0.1601;0.65105
UBC_387;326.0693;58.775;1.526;0.026;8.569;0.129;0.056;0.079;1.746;0.069;40;-2.41166;1.30578;1.3165;0.41085;0.13686;0.06659;1.67217;0.36462;166;33;0.775;0.59165;0.22277;1.32142;2.03438;0.24731;0.69093
